,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
156,Metz Neighborhood Park,4331,3730150.310177905,6.54525012,70,24,20,45,Metz Neighborhood Park,463,162,134,300
157,Michael Butler Park at Town Lake Metro Park,13029,3152498.5567464954,20.299373,25,21,19,4,Michael Butler Park at Town Lake Metro Park,511,428,391,83
158,Michael Butler Shores at Town Lake Metro Park,9294,4594868.277905276,28.65,27,24,21,2,Michael Butler Shores at Town Lake Metro Park,792,707,610,85
159,Millennium Center,2391,2404465.321136141,5.5415,77,43,11,34,Millennium Center,431,240,62,191
160,Montopolis Neighborhood Park,3999,3888269.440944051,7.61,152,52,10,99,Montopolis Neighborhood Park,1160,402,78,758
161,Montopolis Practice Fields,8705,3503356.8750895746,4.11,244,33,19,210,Montopolis Practice Fields,1005,139,81,866
162,Morris Williams Golf Course,13385,30135679.32002885,187.793,19,13,6,5,Morris Williams Golf Course,3581,2543,1295,1038
163,Mountain View Neighborhood Park,3620,2952633.8496998786,8.273,44,41,23,2,Mountain View Neighborhood Park,366,344,191,21
164,Murchison Pool,4675,866683.9435454356,1.15,132,112,82,19,Murchison Pool,152,129,94,22
165,Musket Valley Neighborhood Park,16293,4938359.458373379,15.91,31,17,8,14,Musket Valley Neighborhood Park,505,278,128,226
166,Nicholas Dawson Neighborhood Park,4264,3372470.408628338,3.1977,145,117,112,28,Nicholas Dawson Neighborhood Park,464,374,360,90
167,Norman School Park,3013,1550312.4097200553,6.9,21,13,5,7,Norman School Park,147,95,40,52
168,North Acres Greenbelt,36056,53769217.623463,2.456,5811,1709,849,4102,North Acres Greenbelt,14272,4197,2085,10074
169,North Cat Mountain Greenbelt,22553,94343325.21271306,30.71661354,259,237,207,21,North Cat Mountain Greenbelt,7961,7306,6359,654
170,North Oaks Neighbohood Park,3516,3496068.4447378814,4.616,127,91,65,35,North Oaks Neighbohood Park,588,424,302,164
171,North Star Greenbelt,23952,75435026.96590897,17.61856003,721,487,358,233,North Star Greenbelt,12704,8593,6309,4110
172,Northern Walnut Creek Greenbelt,112988,357439581.9679697,387.40866616,136,92,57,44,Northern Walnut Creek Greenbelt,52874,35697,22436,17176
173,Northwest Balcones Neighborhood Park,5513,3296375.2527633617,7.17204959,59,53,39,6,Northwest Balcones Neighborhood Park,427,380,284,46
174,Northwest Recreation Center,4841,3736877.9748108694,6.66585983,63,58,55,4,Northwest Recreation Center,420,389,369,31
175,Norwood Tract at Town Lake Metro Park,8571,5414793.5311294915,9.52917438,101,84,72,17,Norwood Tract at Town Lake Metro Park,969,801,687,167
176,Oak Springs School Park,4268,1482889.5938459716,6.13,39,24,10,14,Oak Springs School Park,239,149,63,90
177,Oak View Neighborhood Park,5099,3797968.2875063755,6.975217,107,95,70,12,Oak View Neighborhood Park,750,666,489,83
178,Oakhill Neighborhood Park,5970,5353457.522148959,14.495,21,19,17,2,Oakhill Neighborhood Park,310,275,252,35
179,Odom School Park,6478,1227742.1025566082,4.3,92,41,32,51,Odom School Park,397,176,141,220
180,Oertli Neighborhood Park,7969,3931296.725836053,6.0,45,34,14,10,Oertli Neighborhood Park,274,208,88,65
181,Old Bakery and Emporium,5232,697704.3498508029,0.31203828,366,322,281,44,Old Bakery and Emporium,114,100,87,13
182,Old San Antonio District Park,4954,1078.2809709545177,57.683,0,0,0,0,Old San Antonio District Park,0,0,0,0
183,Old San Antonio Greenbelt,13118,38766498.850721814,28.33,135,84,74,50,Old San Antonio Greenbelt,3841,2400,2123,1441
184,Onion Creek Greenbelt,46540,105918540.41760477,235.65838265,89,24,16,65,Onion Creek Greenbelt,21132,5721,3873,15411
185,Onion Creek Metro Park,40693,96903464.41294649,517.312,34,9,6,24,Onion Creek Metro Park,17620,5014,3272,12605
186,Onion Creek Soccer Complex,11343,7173907.089126965,112.46,4,1,0,3,Onion Creek Soccer Complex,548,130,81,417
187,Onion Creek Wildlife Sanctuary,1805,23667776.852177802,180.0,3,1,0,1,Onion Creek Wildlife Sanctuary,570,217,169,352
188,Ortega School Park,4540,1354898.3111555143,4.23478002,68,18,11,50,Ortega School Park,290,76,49,214
189,Palma Plaza Pocket Park,2275,698849.2446038371,0.2066,1065,960,955,104,Palma Plaza Pocket Park,220,198,197,21
190,Pan American Neighborhood Park,6222,4068575.0260252594,5.22503385,164,63,42,100,Pan American Neighborhood Park,859,332,222,527
191,Parque Zaragoza Neighborhood Park,7308,4705445.2000064105,15.273,54,17,13,36,Parque Zaragoza Neighborhood Park,825,264,201,560
192,Pastor Edward Clarence Craig Jr. Neighborhood Park,5676,3675940.5975352665,5.3,232,48,18,184,Pastor Edward Clarence Craig Jr. Neighborhood Park,1231,254,96,977
193,Patterson Neighborhood Park,6655,3918263.4203982013,9.29,57,46,39,10,Patterson Neighborhood Park,533,435,370,97
194,Payton Gin Pocket Park,11234,845363.5532434979,0.9709,399,135,97,263,Payton Gin Pocket Park,387,131,94,255
195,Peace Point at Town Lake Metro Park,3440,4796975.455780819,5.46668977,154,87,65,67,Peace Point at Town Lake Metro Park,846,477,357,369
196,Pease District Park,19456,19789494.124344792,42.68088432,121,104,84,17,Pease District Park,5202,4454,3588,747
197,Pecan Springs School Park,2272,1391640.7043358781,4.55,59,31,14,27,Pecan Springs School Park,270,144,64,126
198,Perry Neighborhood Park,3842,4157535.0775828483,10.3933043,31,29,27,2,Perry Neighborhood Park,332,302,282,30
