,GEOID10,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
25,484530003061,4869.000001068071,2286.0000005014604,238.000000052208,440.00000009651905,126.00000002763954,2583.0000005666107,187.0000000410206,477.0000001046354,238.000000052208,36291342.15092726,0.0001489415739796265,3.4192280527921603e-09,4.104052513688061e-12,1.998263169353059e-08,9.381864048348927e-09,9.76764498472023e-10,1.805783106418866e-09,5.171106168381299e-10,1.0600767645181661e-08,7.674578202280181e-10,1.9576330494586344e-09,9.76764498472023e-10,1.744222318700041e-09,3.7634161558775e-09,1.4938751153101527e-09,1.1577532143653683e-08,1.2406550751600526e-08,5.84419388967421,2.7438544324902945,0.2856681342662686,0.528125962509068,0.1512360710821422,3.100339457183915,0.2244535340663539,0.5725365548109669,0.2856681342662686,0.5101216683326225,1.1006625173200348,0.43690420534841073,3.3860075914501833,3.628465419692983
26,484530003071,1785.9999998411276,855.9999999238552,47.99999999573019,141.99999998736848,62.99999999439588,929.9999999172725,35.99999999679765,121.99999998914758,125.99999998879176,13066890.06784601,0.00029108586632213464,6.682411990866268e-09,2.2276598701814764e-11,3.9786005277902035e-08,1.906876848705719e-08,1.0692767375919918e-09,3.163277015376309e-09,1.4034257180894894e-09,2.0717236790844843e-08,8.01957553193994e-10,2.717745041379646e-09,2.806851436178979e-09,1.8712342907859856e-09,5.881022056755956e-09,4.210277154268468e-09,2.1786513528436836e-08,2.3880513806221154e-08,5.953839022838281,2.853575701875458,0.16001359075937147,0.4733735393298073,0.21001783787167508,3.1002633209628225,0.12001019306952862,0.40670120984673586,0.42003567574335016,0.2800237838289001,0.8800747491765433,0.6300535136150252,3.2602769117221944,3.57363686029263
27,484530004011,2086.0000002205234,966.0000001021216,17.00000000179717,79.00000000835155,65.00000000687153,1120.0000001184019,36.00000000380577,203.00000002146032,32.00000000338291,9038659.423957244,4.947978725056146e-05,1.1358996154858003e-09,5.47423958904943e-12,1.1419263783964307e-08,5.288115443580787e-09,9.306207302367843e-11,4.3246492758062333e-10,3.5582557332582934e-10,6.131148340383521e-09,1.970726252266132e-10,1.1112706366945133e-09,1.751756668681006e-10,2.9013469825029164e-10,1.5437355642751365e-09,5.310012401939299e-10,6.2242104134072e-09,6.5636132679641445e-09,10.053057178895628,4.655442586199989,0.08192807863913022,0.38072460073478165,0.3132544183260862,5.397614592695639,0.17349475476521697,0.9783176449260846,0.15421755979130397,0.25542283340434724,1.3590422456608662,0.4674719781173901,5.4795426713347695,5.778339193430421
28,484530004012,2000.9999995086384,943.9999997681932,20.999999994843282,30.9999999923877,62.99999998452984,1056.9999997404452,19.99999999508884,33.99999999165103,32.99999999189659,14453490.345454656,2.567409297663404e-05,5.893960738437566e-10,1.776324774362066e-12,3.5544258726256765e-09,1.6768505865860263e-09,3.730282025244338e-11,5.5066067991702127e-11,1.1190846075733014e-10,1.8775752860396503e-09,3.55264954785175e-11,6.039504231347976e-11,5.861871753955389e-11,7.282931573096089e-11,1.1546111030518189e-10,1.7052717829688403e-10,1.914878106292094e-09,1.9326413540313525e-09,6.030623599925645,2.845031823253277,0.06328990284779537,0.093427951822936,0.18986970854338608,3.185591776672367,0.06027609795028129,0.10246936651547822,0.09945556161796415,0.12356600079807667,0.19589731833841423,0.28932527016135023,3.2488816795201627,3.279019728495303
31,484530004023,802.0000006065147,471.0000003561951,21.00000001588131,21.00000001588131,15.000000011343793,331.0000002503197,0.0,0.0,55.00000004159391,6669226.725044988,5.763988090647966e-05,1.3232295892212961e-09,8.642663277591727e-12,6.931415953870468e-09,4.070694406824178e-09,1.8149592896668307e-10,1.8149592896668307e-10,1.296399492619165e-10,2.8607215470462908e-09,0.0,0.0,4.753464806270272e-10,1.8149592896668307e-10,1.8149592896668307e-10,6.049864298889437e-10,3.042217476012974e-09,3.042217476012974e-09,5.238256467609312,3.0763326636458683,0.13716132895236352,0.13716132895236352,0.09797237782311682,2.1619238039634445,0.0,0.0,0.359232052018095,0.13716132895236352,0.13716132895236352,0.45720442984121185,2.2990851329158084,2.2990851329158084
33,484530005002,767.0000015324758,285.00000056943367,10.000000019980128,16.000000031968206,16.000000031968206,482.0000009630422,26.000000051948334,33.00000006593442,34.00000006793244,2381864.177760799,4.136749339522794e-05,9.496669741787864e-10,1.7367696185815977e-11,1.332102300113643e-08,4.949793422847304e-09,1.7367696220516856e-10,2.778831395282697e-10,2.778831395282697e-10,8.371229578289126e-09,4.5156010173343827e-10,5.731339752770563e-10,5.905016714975732e-10,6.252370639386068e-10,8.51017114805326e-10,8.683848110258429e-10,8.544906540494294e-09,8.649112717817396e-09,14.027046705141696,5.212135998651086,0.18288196486495037,0.2926111437839206,0.2926111437839206,8.81491070649061,0.475493108648871,0.6035104840543363,0.6217986805408314,0.6583750735138213,0.896121627838257,0.914409824324752,8.99779267135556,9.10752185027453
34,484530005003,1120.000002629082,598.0000014037421,13.000000030516132,96.0000002253499,11.000000025821342,522.00000122534,14.000000032863525,42.000000098590576,11.000000025821342,4239832.058949179,0.00019432790149517256,4.461154763433713e-09,4.583386766110159e-11,5.133393190093478e-08,2.740865292567768e-08,5.95840280992993e-10,4.40005130579441e-09,5.041725454556094e-10,2.3925278975257103e-08,6.416741487616848e-10,1.925022446285054e-09,5.041725454556094e-10,1.2375144297546778e-09,6.325073752079464e-09,1.0083450909112188e-09,2.4521119256250095e-08,2.832533028105151e-08,11.506870893988776,6.143847138040436,0.13356189430522686,0.9863032194847522,0.11301391056596119,5.3630237559483405,0.1438358861748597,0.43150765852457906,0.11301391056596119,0.27739778048008656,1.4178108780093315,0.22602782113192238,5.496585650253567,6.349326975433092
35,484530005004,1749.999997379806,792.9999988126779,0.0,25.999999961071406,51.99999992214281,956.9999985671283,55.9999999161538,148.9999997769092,0.0,4260447.209627981,0.0001912121339008293,4.389626581745393e-09,4.4880765913192895e-11,7.854134023049125e-08,3.559044731587404e-08,0.0,1.1668999119958702e-09,2.3337998239917403e-09,4.295089291461722e-08,2.5133228873757203e-09,6.687234111053255e-09,0.0,2.5133228873757203e-09,7.854134023049125e-09,2.3337998239917403e-09,4.295089291461722e-08,4.411779282661309e-08,17.89248783874045,8.107853060640673,0.0,0.2658312478898581,0.5316624957797162,9.784634778099779,0.5725596108396944,1.5234175359841868,0.0,0.5725596108396944,1.789248783874045,0.5316624957797162,9.784634778099779,10.050466025989637
36,484530006011,1271.0000021627077,469.0000007980408,0.0,9.000000015314216,11.000000018717374,802.0000013646668,4.000000006806318,13.000000022120535,0.0,2121204.6136157564,0.0003746769176252388,8.601398476245151e-09,1.7663402918333898e-10,2.245018514740316e-07,8.284135982794714e-08,0.0,1.5897062653550624e-09,1.942974324322854e-09,1.4166049164608446e-07,7.065361179355833e-10,2.296242383290646e-09,0.0,7.065361179355833e-10,3.885948648645709e-09,1.942974324322854e-09,1.4166049164608446e-07,1.4325019791143952e-07,26.10062213651047,9.63115010387365,0.0,0.1848195115881937,0.22589051416334785,16.46947203263682,0.08214200515030831,0.26696151673850205,0.0,0.08214200515030831,0.4517810283266958,0.22589051416334785,16.46947203263682,16.65429154422501
38,484530006031,1034.9999955424205,365.9999984236966,0.0,0.0,22.99999990094268,668.9999971187241,0.0,15.99999993109056,0.0,2316898.6360280695,0.00026849636236962304,6.1638283372273425e-09,1.1588610662308239e-10,1.1994211983831874e-07,4.241431484137649e-08,0.0,0.0,2.665380440851528e-09,7.752780499694228e-08,0.0,1.8541776979836716e-09,0.0,0.0,1.8541776979836716e-09,2.665380440851528e-09,7.752780499694228e-08,7.752780499694228e-08,19.459029887953037,6.881164192261655,0.0,0.0,0.4324228863989565,12.577865695691388,0.0,0.3008159209731871,0.0,0.0,0.3008159209731871,0.4324228863989565,12.577865695691388,12.577865695691388
