,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
12,Bailey Neighborhood Park,1331,35,25,24,8,22,46,2.299,71,15,11,10,3,9,20,Bailey Neighborhood Park,163
13,Balcones District Park,6433,163,409,378,171,262,98,51.69,28,3,7,7,3,5,1,Balcones District Park,1484
14,Barrington School Park,2457,23,43,12,8,10,10,8.02,13,2,5,1,1,1,1,Barrington School Park,109
15,Barrow Nature Preserve,2167,42,101,75,106,78,216,7.5374,82,5,13,10,14,10,28,Barrow Nature Preserve,621
16,Bartholomew District Park,4843,265,218,216,144,233,227,50.59388057,25,5,4,4,2,4,4,Bartholomew District Park,1305
17,Barton Creek Greenbelt,25541,1299,1797,1917,1441,1948,2789,838.75934835,13,1,2,2,1,2,3,Barton Creek Greenbelt,11194
18,Barton Creek Wilderness Park,11927,292,457,717,682,931,1833,1120.26484727,4,0,0,0,0,0,1,Barton Creek Wilderness Park,4913
19,Barton Hills School Park,1771,8,24,14,14,18,23,4.76,21,1,5,3,3,3,5,Barton Hills School Park,104
20,Battlebend Springs Neighborhood Park,1807,36,47,28,27,26,14,4.91,36,7,9,5,5,5,2,Battlebend Springs Neighborhood Park,179
21,Bauerle Ranch at Slaughter Creek Greenbelt,14276,724,787,1008,1003,1516,955,322.59,18,2,2,3,3,4,2,Bauerle Ranch at Slaughter Creek Greenbelt,5996
22,Bellingham Meadows Greenbelt,2535,78,110,181,177,257,133,22.3262,42,3,4,8,7,11,5,Bellingham Meadows Greenbelt,937
23,Beverly S. Sheffield Northwest District Park,5645,156,141,113,139,255,303,31.14,35,5,4,3,4,8,9,Beverly S. Sheffield Northwest District Park,1109
24,Big Stacy Neighborhood Park,1418,51,35,44,61,74,66,4.4178,75,11,7,10,13,16,15,Big Stacy Neighborhood Park,333
25,Big Walnut Creek Nature Preserve,7510,22,44,38,9,15,6,47.9502,2,0,0,0,0,0,0,Big Walnut Creek Nature Preserve,137
26,Blunn Creek Greenbelt,13076,1570,1487,1330,899,1344,1456,13.33355865,606,117,111,99,67,100,109,Blunn Creek Greenbelt,8088
27,Blunn Creek Nature Preserve,5362,414,353,221,176,224,171,38.52,40,10,9,5,4,5,4,Blunn Creek Nature Preserve,1561
28,Boggy Creek Greenbelt,10344,1776,1295,1045,585,901,659,48.830154,128,36,26,21,11,18,13,Boggy Creek Greenbelt,6263
29,Bolm District Park,1267,49,29,85,59,36,26,68.162,4,0,0,1,0,0,0,Bolm District Park,286
30,Brentwood Neighborhood Park,2283,68,70,34,23,70,68,9.25,36,7,7,3,2,7,7,Brentwood Neighborhood Park,337
31,Brownie Neighborhood Park,2564,114,205,66,35,24,5,8.287244,54,13,24,8,4,2,0,Brownie Neighborhood Park,451
32,Brush Square (O. Henry Museum),2521,8,9,11,9,22,43,1.752275,59,4,5,6,5,12,24,Brush Square (O. Henry Museum),104
33,Brush Square Triangle,682,0,1,2,0,2,8,1.0,16,0,1,2,0,2,8,Brush Square Triangle,16
34,Brushy Creek Greenbelt,8028,134,263,334,241,723,1109,51.470217,54,2,5,6,4,14,21,Brushy Creek Greenbelt,2807
35,Bull Creek District Park,3432,38,65,114,63,112,223,47.3,13,0,1,2,1,2,4,Bull Creek District Park,617
36,"Burnett ""Blondie"" Pharr Tennis Center",3039,51,37,48,25,41,56,8.45,30,6,4,5,3,4,6,"Burnett ""Blondie"" Pharr Tennis Center",260
37,Buttermilk Branch Greenbelt,14054,2416,1830,840,467,433,243,4.00384587,1556,603,457,209,116,108,60,Buttermilk Branch Greenbelt,6231
38,Buttermilk Neighborhood Park,3089,311,213,86,30,28,14,16.60250868,41,18,12,5,1,1,0,Buttermilk Neighborhood Park,685
39,Caldwell Treaty Oak Park,2484,9,10,16,9,13,17,0.308085,253,32,33,52,31,45,58,Caldwell Treaty Oak Park,77
40,Canyon Vista Pool,1488,0,1,0,2,3,16,0.47907723,52,1,2,1,5,6,33,Canyon Vista Pool,25
41,Caswell Tennis Center,1731,218,54,28,5,23,21,3.06,115,71,17,9,1,7,7,Caswell Tennis Center,353
42,Central Maintenance Complex at Town Lake Metro Park,3626,78,51,23,3,35,15,9.21592622,22,8,5,2,0,3,1,Central Maintenance Complex at Town Lake Metro Park,208
43,Cherry Creek Neighborhood Park,2247,34,35,40,37,53,43,10.25,23,3,3,3,3,5,4,Cherry Creek Neighborhood Park,244
44,Cherrywood Pocket Park,1468,3,16,12,11,21,12,0.516,151,7,32,24,22,41,23,Cherrywood Pocket Park,78
45,Chestnut Pocket Park,643,6,12,9,13,16,8,0.6082,109,11,20,15,22,26,13,Chestnut Pocket Park,66
46,Circle C Ranch on Slaughter Creek,16776,326,550,846,785,1545,1891,591.5715,10,0,0,1,1,2,3,Circle C Ranch on Slaughter Creek,5945
47,City of Austin/YMCA North Austin Community Recreation Center,3125,245,209,81,45,17,16,6.997,88,35,29,11,6,2,2,City of Austin/YMCA North Austin Community Recreation Center,615
48,Civitan Neighborhood Park,3050,102,46,31,17,15,9,7.12,31,14,6,4,2,2,1,Civitan Neighborhood Park,222
49,Colony Park District Park,4175,250,363,236,72,84,6,91.79060585,11,2,3,2,0,0,0,Colony Park District Park,1013
50,Colorado River Greenbelt,3431,111,80,135,107,54,28,8.475,61,13,9,15,12,6,3,Colorado River Greenbelt,517
51,Colorado River Park WIldlife Sanctuary,4286,148,55,57,45,27,11,43.331,7,3,1,1,1,0,0,Colorado River Park WIldlife Sanctuary,344
