,GEOID10,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
52,484530008023,1531,679,184,851,8937278.202172298,0.001218414933975937,2.7970958080255673e-08,1.363295296860949e-10,0,0,0,0,0.0,0.0,0.0,0.0
53,484530008031,921,783,534,138,4930153.269455004,2.3765467105363314e-06,5.455800529238594e-11,4.820431699883121e-13,0,0,0,0,0.0,0.0,0.0,0.0
54,484530008032,689,567,461,121,3045591.9155377503,4.466200964744734e-05,1.0252986604097185e-09,1.4664476031603043e-11,0,0,0,0,0.0,0.0,0.0,0.0
55,484530008033,878,799,671,79,7567536.927066634,5.100783664602204e-05,1.1709788027094132e-09,6.740348562236081e-12,0,0,0,0,0.0,0.0,0.0,0.0
56,484530008041,1138,624,432,514,4151723.0145273837,9.562544167270731e-05,2.1952580732944747e-09,2.3032712283093613e-11,0,0,0,0,0.0,0.0,0.0,0.0
57,484530008042,1313,767,425,545,7123891.455028789,0.00032130929732173373,7.376246494989296e-09,4.510305910050327e-11,0,0,0,0,0.0,0.0,0.0,0.0
60,484530009021,1233,194,176,1038,7479729.700978581,0.00025111393915722147,5.764782808935295e-09,3.357259542739465e-11,0,0,0,0,0.0,0.0,0.0,0.0
62,484530009023,1542,547,346,995,5718133.523099591,0.0002100805413386437,4.822785613834796e-09,3.673935568135644e-11,0,0,0,0,0.0,0.0,0.0,0.0
63,484530009024,1024,497,321,526,8716252.784106499,6.211571139250888e-05,1.4259805186526373e-09,7.126423812050598e-12,0,0,0,0,0.0,0.0,0.0,0.0
64,484530010001,605,232,232,373,3281621.173515368,5.369077446668036e-05,1.2325705800431672e-09,1.6361051939814625e-11,0,0,0,0,0.0,0.0,0.0,0.0
66,484530010003,1075,332,274,742,5300935.364622183,6.566668719260168e-05,1.5074997059825914e-09,1.2387754740579069e-11,0,0,0,0,0.0,0.0,0.0,0.0
67,484530010004,458,210,179,248,7679027.899241406,0.0017845474222776955,4.096757167763305e-08,2.3239236081613755e-10,0,0,0,0,0.0,0.0,0.0,0.0
68,484530010005,723,398,272,324,6371320.04277847,0.0009596043743531758,2.2029485177988427e-08,1.506131175188465e-10,0,0,0,0,0.0,0.0,0.0,0.0
69,484530011001,4108,3631,3179,476,22717591.049098503,0.0015256915548369178,3.5025058650985255e-08,6.715903774918342e-11,0,0,0,0,0.0,0.0,0.0,0.0
70,484530011002,1891,1486,1213,404,6095411.155599929,0.0009544590734559561,2.1911365322680352e-08,1.56586495823023e-10,0,0,0,0,0.0,0.0,0.0,0.0
71,484530012001,1145,1129,908,16,5422749.264981197,9.694438617335183e-05,2.2255368726664792e-09,1.7877349926428504e-11,0,0,0,0,0.0,0.0,0.0,0.0
72,484530012002,2990,2752,2402,237,18629653.332909238,0.0027043421670844125,6.208315351433454e-08,1.4516331134875165e-10,0,0,0,0,0.0,0.0,0.0,0.0
74,484530013031,1504,1331,1142,172,8122231.341606798,0.000990474503288756,2.273816582389247e-08,1.2194610835756043e-10,0,0,0,0,0.0,0.0,0.0,0.0
79,484530013043,890,609,583,281,3907674.338993322,0.00012931562224496916,2.9686781966246365e-09,3.309273266571208e-11,0,0,0,0,0.0,0.0,0.0,0.0
81,484530013051,1344,1247,1180,97,12610842.216223454,0.0012512239791879643,2.8724150119099272e-08,9.921811388444016e-11,0,0,0,0,0.0,0.0,0.0,0.0
82,484530013052,1417,1027,800,390,6577018.71996856,7.776758017818963e-05,1.7852979838886508e-09,1.182413848725694e-11,0,0,0,0,0.0,0.0,0.0,0.0
84,484530013054,1420,973,959,447,7550907.279780719,0.0002910881040058223,6.682463361015204e-09,3.855008321785082e-11,0,0,0,0,0.0,0.0,0.0,0.0
86,484530013072,557,310,310,247,4918306.759365033,0.0002975237164253774,6.830204692960914e-09,6.049311907169217e-11,0,0,0,0,0.0,0.0,0.0,0.0
87,484530013073,2289,1526,1087,762,7439808.001448249,3.707462246893556e-05,8.51116218295123e-10,4.983276781029635e-12,0,0,0,0,0.0,0.0,0.0,0.0
91,484530013084,641,407,339,233,3426011.8848592937,0.00014325053098218632,3.2885796827866466e-09,4.181261939436314e-11,0,0,0,0,0.0,0.0,0.0,0.0
92,484530014011,1877,1597,1417,279,8310460.459134112,0.0001841749780809492,4.228075713520413e-09,2.2161825928492396e-11,0,0,0,0,0.0,0.0,0.0,0.0
93,484530014012,1481,1347,1135,133,6519764.102081893,0.00040070855472092897,9.199002633630142e-09,6.146059097337197e-11,0,0,0,0,0.0,0.0,0.0,0.0
94,484530014021,684,587,505,97,6417603.038100589,0.0007044710170501772,1.6172429225210677e-08,1.0977167220655621e-10,0,0,0,0,0.0,0.0,0.0,0.0
95,484530014022,624,549,549,75,4433706.897456161,0.00019043371169014328,4.37175646671587e-09,4.2951353369661087e-11,0,0,0,0,0.0,0.0,0.0,0.0
97,484530014031,681,344,269,337,3957846.394370541,0.00014294823270609566,3.2816398692859424e-09,3.611768079464091e-11,0,0,0,0,0.0,0.0,0.0,0.0
99,484530015011,1060,970,875,89,6579487.937833582,0.00016547340501915642,3.798746671697805e-09,2.5149891083110882e-11,0,0,0,0,0.0,0.0,0.0,0.0
100,484530015012,1454,1427,1405,26,11173770.049554855,0.0005411313169584632,1.2422665678568944e-08,4.8428714261935344e-11,0,0,0,0,0.0,0.0,0.0,0.0
102,484530015014,1456,1420,1398,35,14318674.994763609,0.00014070790787236442,3.230209087978981e-09,9.826880484669274e-12,0,0,0,0,0.0,0.0,0.0,0.0
104,484530015032,304,230,202,73,3561894.8778781397,2.4464092938103477e-05,5.616182951814389e-10,6.868280445344588e-12,0,0,0,0,0.0,0.0,0.0,0.0
105,484530015033,1639,1097,888,541,12517824.889002467,0.00017929311343323207,4.116003522342334e-09,1.4323024568809076e-11,0,0,0,0,0.0,0.0,0.0,0.0
108,484530015042,981,909,884,71,4954817.122023007,1.8104528066942294e-05,4.1562277472319317e-10,3.6539245790670836e-12,0,0,0,0,0.0,0.0,0.0,0.0
111,484530015051,666,607,591,58,5770387.685089413,7.805642186560491e-05,1.7919288766208657e-09,1.3527067179091176e-11,0,0,0,0,0.0,0.0,0.0,0.0
112,484530015052,1270,1135,1027,135,7423767.098511405,0.00020968556061458105,4.813718104099657e-09,2.8245169579286324e-11,0,0,0,0,0.0,0.0,0.0,0.0
