,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
226,Sendera Mesa Neighborhood Park,6953,185,95,7,25,3,89,6,15,4,4.61649392,40,20,1,5,0,19,1,3,0,13,3,41,8,7,1,Sendera Mesa Neighborhood Park
227,Shinoak Valley Greenbelt,3303,369,191,17,48,32,177,9,18,39,10.46021446,35,18,1,4,3,16,0,1,3,27,2,67,6,71,6,Shinoak Valley Greenbelt
228,Shipe Neighborhood Park,4316,193,95,3,8,13,98,7,18,4,2.45876512,78,38,1,3,5,40,3,7,1,11,4,26,10,17,7,Shipe Neighborhood Park
229,Shoal Beach at Town Lake Metro Park,11841,595,335,1,7,24,259,7,11,28,13.48083855,44,24,0,0,1,19,0,0,2,8,0,19,1,52,3,Shoal Beach at Town Lake Metro Park
230,Shoal Creek Greenbelt,30364,4725,2529,79,253,160,2195,99,247,205,80.67868635,58,31,0,3,1,27,1,3,2,179,2,501,6,365,4,Shoal Creek Greenbelt
231,Silk Oak Neighborhood Park,2561,315,149,9,31,14,166,9,14,22,17.68232301,17,8,0,1,0,9,0,0,1,19,1,46,2,37,2,Silk Oak Neighborhood Park
232,Sir Swante Palm Neighborhood Park,7631,203,125,0,1,10,78,2,4,9,3.24240255,62,38,0,0,3,24,0,1,2,2,0,6,1,19,6,Sir Swante Palm Neighborhood Park
233,Slaughter Creek Greenbelt,21331,1028,503,42,113,40,524,21,87,47,73.780646,13,6,0,1,0,7,0,1,0,64,0,201,2,88,1,Slaughter Creek Greenbelt
234,South Austin Island,4010,146,72,5,11,5,74,0,9,9,0.06846614,2136,1053,73,166,73,1082,14,131,144,6,88,20,298,14,217,South Austin Island
235,South Austin Neighborhood Park,4184,305,161,17,46,10,143,15,21,12,12.27,24,13,1,3,0,11,1,1,1,33,2,67,5,22,1,South Austin Neighborhood Park
236,South Austin Senior Activity Center,5041,345,152,8,25,4,192,15,40,9,4.63,74,33,1,5,1,41,3,8,2,23,5,66,14,14,3,South Austin Senior Activity Center
237,South Austin Tennis Center,2847,273,156,17,39,10,117,10,16,13,12.05,22,12,1,3,0,9,0,1,1,27,2,55,4,24,1,South Austin Tennis Center
238,South Boggy Creek Greenbelt,24130,1043,559,44,119,20,483,11,61,33,29.853245,34,18,1,4,0,16,0,2,1,56,1,181,6,54,1,South Boggy Creek Greenbelt
239,South Boggy Creek Greenbelt,24130,1043,559,44,119,20,483,11,61,33,8.54716954,122,65,5,14,2,56,1,7,3,56,6,181,21,54,6,South Boggy Creek Greenbelt
240,Southern Walnut Creek Greenbelt,13312,1152,582,66,235,31,570,64,210,47,601.16025764,1,0,0,0,0,0,0,0,0,131,0,445,0,79,0,Southern Walnut Creek Greenbelt
241,Sparky Pocket Park,1989,212,82,2,4,6,130,7,10,9,0.4550046,467,180,5,9,13,287,16,22,20,9,21,14,32,15,33,Sparky Pocket Park
242,Springdale Neighborhood Park,4664,199,89,1,14,10,109,6,23,15,16.36640913,12,5,0,0,0,6,0,1,0,8,0,38,2,26,1,Springdale Neighborhood Park
243,Springwoods Neighborhood Park,3616,389,194,24,49,10,195,14,35,16,12.45145586,31,15,1,3,0,15,1,2,1,38,3,85,6,26,2,Springwoods Neighborhood Park
244,St. Edwards Greenbelt,3602,1,0,0,0,0,0,0,0,0,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Edwards Greenbelt
245,St. Elmo School Park,4061,259,126,11,34,17,133,10,26,13,5.51527426,47,22,2,6,3,24,1,4,2,22,4,61,11,30,5,St. Elmo School Park
246,St. John Pocket Park,2930,185,121,7,33,0,63,2,13,4,0.97,191,125,8,34,0,65,2,13,4,10,10,46,47,5,5,St. John Pocket Park
247,Steck Valley Greenbelt,4043,493,253,7,60,40,240,0,31,53,38.35643094,12,6,0,1,1,6,0,0,1,7,0,92,2,94,2,Steck Valley Greenbelt
248,Stephenson Nature Preserve & Outdoor Education Center,6405,534,276,18,50,22,257,12,44,40,147.282,3,1,0,0,0,1,0,0,0,31,0,94,0,62,0,Stephenson Nature Preserve & Outdoor Education Center
249,Stillhouse Hollow Nature Preserve,2858,330,150,4,37,25,179,8,42,41,19.8278,16,7,0,1,1,9,0,2,2,12,0,79,4,66,3,Stillhouse Hollow Nature Preserve
250,Stratford Overlook Greenbelt,2736,256,120,5,33,11,135,9,36,29,0.07,3663,1723,79,479,168,1940,142,516,414,15,222,69,995,40,582,Stratford Overlook Greenbelt
251,Swede Hill Pocket Park,878,95,62,0,0,2,33,6,6,2,0.5694,167,108,0,0,3,58,11,11,4,6,11,6,11,4,8,Swede Hill Pocket Park
252,Symphony Square,5232,105,66,0,0,5,38,0,0,5,0.484,218,138,0,0,11,80,0,0,10,0,0,0,0,10,22,Symphony Square
253,T.A. Brown Neighborhood Park,2319,339,195,13,25,3,144,13,36,1,2.29,148,85,5,11,1,63,6,15,0,26,11,62,27,5,2,T.A. Brown Neighborhood Park
254,Tahoe Trail Pocket Park,3911,213,101,9,24,15,111,9,34,24,0.308,692,330,31,78,48,361,31,112,78,19,63,58,190,39,127,Tahoe Trail Pocket Park
255,Tanglewood Neighborhood Park,4297,429,199,11,56,29,230,3,58,40,14.1402,30,14,0,3,2,16,0,4,2,15,1,114,8,70,4,Tanglewood Neighborhood Park
256,Tannehill Branch Greenbelt,8291,197,94,8,18,5,103,8,19,9,4.504,43,20,1,4,1,22,1,4,2,17,3,38,8,14,3,Tannehill Branch Greenbelt
257,Tarrytown Neighborhood Park,2336,196,95,13,30,8,100,6,28,10,2.2502,87,42,6,13,3,44,3,12,4,20,9,59,26,19,8,Tarrytown Neighborhood Park
258,The Circle Greenbelt,1878,232,117,0,5,3,114,0,3,8,1.208,192,97,0,4,2,95,0,2,7,0,0,9,7,12,10,The Circle Greenbelt
259,Tom Lasseter-South Lamar Neighborhood Park,3921,250,122,7,17,4,128,12,30,6,2.084,120,58,3,8,2,61,5,14,3,19,9,48,23,11,5,Tom Lasseter-South Lamar Neighborhood Park
260,Trailhead Neighborhood Park,12073,261,127,4,32,6,133,3,30,7,13.63828257,19,9,0,2,0,9,0,2,0,8,0,63,4,13,1,Trailhead Neighborhood Park
261,Triangle Commons Neighborhood Park,3345,251,120,2,6,6,130,1,9,5,6.05,41,19,0,0,1,21,0,1,0,3,0,15,2,12,2,Triangle Commons Neighborhood Park
262,Umlauf Sculpture Garden,4959,184,89,0,3,5,94,4,9,11,7.8449,23,11,0,0,0,12,0,1,1,5,0,13,1,17,2,Umlauf Sculpture Garden
263,Upper Bull Creek Greenbelt,16537,1604,810,41,239,93,794,26,189,107,181.7298694,8,4,0,1,0,4,0,1,0,68,0,429,2,201,1,Upper Bull Creek Greenbelt
264,Veterans Pocket Park,5002,72,43,2,4,0,28,2,4,0,0.67361979,107,65,3,7,0,42,3,6,1,4,6,9,13,1,2,Veterans Pocket Park
265,Vic Mathias Shores at Town Lake Metro Park,5453,75,46,0,0,2,28,0,0,1,5.76681669,13,8,0,0,0,4,0,0,0,0,0,0,0,3,0,Vic Mathias Shores at Town Lake Metro Park
266,Waller Beach at Town Lake Metro Park,12358,1370,743,1,18,128,627,1,28,126,28.80830482,47,25,0,0,4,21,0,0,4,3,0,47,1,255,8,Waller Beach at Town Lake Metro Park
267,Waller Creek Greenbelt,9580,752,456,0,2,48,296,0,7,45,4.25945033,176,107,0,0,11,69,0,1,10,1,0,9,2,94,22,Waller Creek Greenbelt
268,Walnut Creek Metro Park,5715,548,266,12,42,20,281,32,62,32,290.52051343,1,0,0,0,0,0,0,0,0,45,0,105,0,52,0,Walnut Creek Metro Park
269,Walnut Creek Sports Park,5710,199,97,9,47,3,101,13,45,3,227.96811979,0,0,0,0,0,0,0,0,0,23,0,93,0,6,0,Walnut Creek Sports Park
270,Walsh Boat Landing,2724,149,78,3,16,6,71,2,15,11,3.92369047,38,19,1,4,1,18,0,3,2,6,1,32,8,17,4,Walsh Boat Landing
271,Walter E. Long Metro Park,17219,1094,530,35,175,33,564,50,197,27,1885.44189589,0,0,0,0,0,0,0,0,0,86,0,373,0,60,0,Walter E. Long Metro Park
272,Waterloo Neighborhood Park,5232,151,95,0,0,9,56,1,2,10,10.0212,15,9,0,0,0,5,0,0,1,1,0,2,0,20,2,Waterloo Neighborhood Park
273,Wells Creek Greenbelt,9835,477,229,21,47,19,248,17,40,18,9.18,52,24,2,5,2,27,1,4,2,38,4,88,9,38,4,Wells Creek Greenbelt
274,West Austin Neighborhood Park,3827,222,106,0,3,12,116,5,6,14,3.31956766,67,31,0,1,3,35,1,1,4,5,1,10,3,26,7,West Austin Neighborhood Park
275,West Bouldin Creek Greenbelt,3080,539,267,10,23,25,272,16,44,14,16.86731362,31,15,0,1,1,16,0,2,0,26,1,68,4,39,2,West Bouldin Creek Greenbelt
276,Westcreek Pocket Park,2990,186,94,6,18,18,91,6,13,12,1.293,143,73,4,14,14,70,4,10,10,12,9,31,24,31,24,Westcreek Pocket Park
277,Westenfield Neighborhood Park,4311,283,140,4,29,19,143,12,30,16,4.94370761,57,28,1,5,3,28,2,6,3,17,3,59,11,36,7,Westenfield Neighborhood Park
278,William H. Russell Karst Preserve,9514,706,364,28,96,14,341,21,54,20,190.921,3,1,0,0,0,1,0,0,0,50,0,151,0,35,0,William H. Russell Karst Preserve
279,Williams School Park,4552,231,101,8,20,4,130,18,31,9,9.892,23,10,0,2,0,13,1,3,0,27,2,52,5,14,1,Williams School Park
280,Williamson Creek Central Greenbelt,25580,3087,1591,115,314,139,1495,107,277,113,91.22899701,33,17,1,3,1,16,1,3,1,223,2,591,6,252,2,Williamson Creek Central Greenbelt
281,Williamson Creek East Greenbelt,26207,3516,1719,149,485,97,1796,152,528,76,87.28068991,40,19,1,5,1,20,1,6,0,301,3,1013,11,174,1,Williamson Creek East Greenbelt
282,Williamson Creek West Greenbelt,8394,1085,522,14,92,57,562,11,59,89,76.25644663,14,6,0,1,0,7,0,0,1,26,0,151,1,147,1,Williamson Creek West Greenbelt
283,Wooldridge School Park,6179,607,363,23,75,16,244,33,77,20,9.06898355,66,40,2,8,1,26,3,8,2,57,6,152,16,37,4,Wooldridge School Park
284,Wooldridge Square,4109,170,107,0,0,8,62,0,0,7,1.7488,97,61,0,0,5,35,0,0,4,0,0,0,0,16,9,Wooldridge Square
285,Wooten Neighborhood Park,4064,357,194,42,55,7,163,7,42,20,6.28,56,30,6,8,1,26,1,6,3,49,7,98,15,28,4,Wooten Neighborhood Park
286,Wunneburger Neighborhood Park,4954,1,0,0,0,0,0,0,0,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wunneburger Neighborhood Park
287,Yates Pocket Park,7507,181,99,7,20,2,82,1,16,5,0.9338,194,106,8,22,2,88,1,17,6,9,10,37,40,7,8,Yates Pocket Park
288,Yett Creek Neighborhood Park,1839,164,85,4,12,13,78,5,13,14,40.545,4,2,0,0,0,1,0,0,0,10,0,25,0,28,0,Yett Creek Neighborhood Park
289,Zilker Metro Park,11077,664,332,17,33,26,332,24,41,29,307.84906621,2,1,0,0,0,1,0,0,0,42,0,75,0,55,0,Zilker Metro Park
290,Zilker Nature Preserve,8523,168,88,5,20,10,80,3,14,17,77.39090711,2,1,0,0,0,1,0,0,0,8,0,34,0,28,0,Zilker Nature Preserve
