,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
277,Westenfield Neighborhood Park,2073,14,12,25,12,6,47,4.94370761,24,2,2,5,2,1,9,Westenfield Neighborhood Park,120
278,William H. Russell Karst Preserve,3788,22,40,54,46,80,31,190.921,1,0,0,0,0,0,0,William H. Russell Karst Preserve,275
279,Williams School Park,1789,15,19,28,20,2,2,9.892,8,1,2,2,2,0,0,Williams School Park,88
280,Williamson Creek Central Greenbelt,10231,227,292,303,196,178,67,91.22899701,13,2,3,3,2,1,0,Williamson Creek Central Greenbelt,1266
281,Williamson Creek East Greenbelt,8713,264,383,211,135,72,38,87.28068991,12,3,4,2,1,0,0,Williamson Creek East Greenbelt,1105
282,Williamson Creek West Greenbelt,4022,41,96,114,83,123,71,76.25644663,6,0,1,1,1,1,0,Williamson Creek West Greenbelt,531
283,Wooldridge School Park,2115,56,63,39,25,16,6,9.06898355,22,6,6,4,2,1,0,Wooldridge School Park,206
284,Wooldridge Square,2521,8,9,11,8,21,43,1.7488,59,4,5,6,5,12,24,Wooldridge Square,104
285,Wooten Neighborhood Park,1471,20,41,31,12,10,1,6.28,18,3,6,5,1,1,0,Wooten Neighborhood Park,118
286,Wunneburger Neighborhood Park,1959,0,0,0,0,0,0,23.51,0,0,0,0,0,0,0,Wunneburger Neighborhood Park,0
287,Yates Pocket Park,2328,26,7,8,7,4,1,0.9338,59,27,7,8,7,5,1,Yates Pocket Park,55
288,Yett Creek Neighborhood Park,759,1,8,8,15,16,18,40.545,1,0,0,0,0,0,0,Yett Creek Neighborhood Park,68
289,Zilker Metro Park,6274,40,74,69,55,67,81,307.84906621,1,0,0,0,0,0,0,Zilker Metro Park,387
290,Zilker Nature Preserve,4562,14,8,7,7,9,23,77.39090711,0,0,0,0,0,0,0,Zilker Nature Preserve,70
