,GEOID10,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
154,484530017182,688,0,12,0,0,12,11,0,104,0,55,80,114,91,0,82,118,10898423.753511854,6992.867227303692,0.16053414204094793,0.0006416402394933804,0.4414484847714457,0,0,0,0,0,0,2.7498728878424137,0.0,0.0,0.0,0.0,0.0,0.0
155,484530017183,463,15,27,12,23,37,0,24,0,45,45,13,26,35,50,32,79,7923950.427151792,0.0002167633337563056,4.976201417729697e-09,2.7355463130303763e-11,1.2665579429330642e-08,0,0,0,0,0,0,2.545230461171543,0.0,0.0,0.0,0.0,0.0,0.0
156,484530017184,795,0,10,0,0,63,0,36,29,0,70,141,37,109,80,48,172,10552765.12798314,0.00016493309844018474,3.786342939398181e-09,1.562937262792155e-11,1.2425351239197632e-08,0,0,0,0,0,0,3.281623307257154,0.0,0.0,0.0,0.0,0.0,0.0
157,484530017191,726,0,23,8,9,13,0,8,7,8,59,39,34,74,67,141,223,23325308.704059187,7382732.130730422,169.48420869445414,0.316511657976284,229.78746369078218,12,11,31,10,44,115,1.3558045640997896,0.07080305647609672,0.06490280176975533,0.1829078958965832,0.059002547063413936,0.2596112070790213,0.6785292912292603
158,484530017192,303,0,0,0,10,0,0,0,0,0,9,0,24,44,26,64,126,8151249.443798728,5521635.57387919,126.75931069511455,0.6773974483236942,205.25142684207935,6,0,6,16,47,128,1.6192217022681394,0.0473338010998765,0.0,0.0473338010998765,0.12622346959967065,0.37078144194903256,1.0097877567973652
159,484530017193,656,0,17,10,8,8,6,0,28,16,18,31,76,55,58,30,295,24207856.859167136,16300486.912487393,374.20768853276843,0.673355225426106,441.72102787952554,23,39,32,51,76,218,1.1804167616423658,0.06146319465049139,0.10422019962474627,0.08551400994850976,0.13628795335543742,0.20309577362771067,0.5825641927742227
160,484530017221,298,19,21,0,31,0,0,59,16,38,0,16,34,0,16,15,33,5859987.695525694,0.00038067682248078133,8.739137338860913e-09,6.496205150250425e-11,1.9358691347746265e-08,0,0,0,0,0,0,2.2151718867791064,0.0,0.0,0.0,0.0,0.0,0.0
161,484530017222,1157,53,0,107,68,31,134,16,72,165,68,145,159,139,0,0,0,12836175.022009315,2724609.293779397,62.54842272220838,0.2122602168564775,245.58507090294447,48,88,45,33,29,0,3.9263191654511105,0.7674054422311942,1.406909977423856,0.7194426020917446,0.5275912415339461,0.46364078801467984,0.0
162,484530017223,809,34,0,0,17,0,94,30,79,14,17,96,112,69,145,91,11,10955944.17002044,240390.7683561832,5.51861268035315,0.021941583913322796,17.750741385878143,1,4,2,2,4,2,3.216522414967203,0.1812049618122516,0.7248198472490064,0.3624099236245032,0.3624099236245032,0.7248198472490064,0.3624099236245032
163,484530017281,444,24,10,0,21,0,9,0,34,17,53,55,140,61,0,20,0,5280705.868601467,3096342.127059327,71.08223432183946,0.5863500456387579,260.33942026360853,32,35,63,82,35,11,3.6625103691151315,0.45018281016763495,0.4923874486208507,0.8862974075175313,1.1535934510545645,0.4923874486208507,0.1547503409951245
164,484530017282,542,0,26,78,9,30,14,0,0,12,78,74,30,26,57,73,23,6409724.967917142,6393797.646606921,146.7813968458889,0.9975151318676008,540.6532014722396,112,55,151,29,82,95,3.6833904915068425,0.7630394750745754,0.37470688508126465,1.028740720859472,0.19757272122466682,0.5586539013938855,0.6472209833221845
165,484530017283,503,0,8,12,0,0,13,13,59,28,35,90,111,59,31,29,15,5187836.500282231,3971759.898811634,91.1790610379163,0.7655908004416795,385.0921726221648,15,86,95,84,68,33,4.223471576023648,0.1645114550342028,0.9431990088627628,1.0419058818832845,0.9212641481915357,0.7457852628217194,0.3619252010752462
166,484530017284,942,16,13,0,12,0,44,34,72,20,55,75,274,131,59,86,38,14825603.295494247,9989886.409825526,229.3362353036163,0.6738266369815535,634.7446920366234,27,114,87,184,128,83,2.76774706446319,0.11773106837763744,0.4970867331500248,0.3793556647723873,0.8023154289438996,0.5581324723087997,0.36191402501273734
167,484530017285,552,28,0,0,22,0,20,0,41,14,6,123,157,56,28,42,15,7150320.802180761,4.50268760232575e-05,1.0336748398360307e-09,6.297182639627141e-12,3.476044817074182e-09,0,0,0,0,0,0,3.3628029658007135,0.0,0.0,0.0,0.0,0.0,0.0
168,484530017291,789,19,0,0,17,20,0,16,91,11,199,79,114,127,69,14,13,17304272.57540585,266194.463616226,6.110984013228328,0.015383164039762169,12.137316427372351,0,2,4,1,3,0,1.986147632050573,0.0,0.32727953397859316,0.6545590679571863,0.16363976698929658,0.4909193009678897,0.0
170,484530017293,963,73,11,0,0,17,59,21,119,105,78,105,197,68,40,39,31,12034072.762920177,0.00045841019483959695,1.0523650019274494e-08,3.809268930565778e-11,3.668325980134844e-08,0,0,0,0,0,0,3.4857924516837366,0.0,0.0,0.0,0.0,0.0,0.0
172,484530017332,198,0,0,5,4,7,4,8,4,12,4,5,50,12,13,21,44,2936492.143508697,2936492.143508697,67.41258364345035,1.0,198.0,9,35,9,50,25,65,2.9371370936802426,0.13350623153092012,0.5191909003980226,0.13350623153092012,0.7417012862828894,0.3708506431414447,0.9642116721677564
173,484530017371,506,0,0,0,29,0,0,50,54,0,63,0,78,94,20,0,118,9042106.24510454,541514.3979034448,12.431460006966134,0.05988808173943151,30.303369360152345,1,6,3,4,6,7,2.437635590925881,0.08044107445462051,0.48264644672772306,0.24132322336386153,0.32176429781848204,0.48264644672772306,0.5630875211823436
